class_code,summary_month,summary_year,Class,track,registrations,revenue
CT1,Jan,2023,Short Form Level 1,Core,19,"$5,253.50 "
CT1,Feb,2023,Short Form Level 1,Core,10,"$2,765.00 "
CT1,Mar,2023,Short Form Level 1,Core,16,"$4,424.00 "
CT1,Apr,2023,Short Form Level 1,Core,8,"$2,212.00 "
CT1,May,2023,Short Form Level 1,Core,12,"$3,318.00 "
CT1,Jun,2023,Short Form Level 1,Core,8,"$2,212.00 "
CT1,Jul,2023,Short Form Level 1,Core,7,"$1,935.50 "
CT1,Aug,2023,Short Form Level 1,Core,15,"$4,146.00 "
CT1,Sep,2023,Short Form Level 1,Core,11,"$3,040.00 "
CT1,Oct,2023,Short Form Level 1,Core,9,"$2,488.50 "
CT1,Nov,2023,Short Form Level 1,Core,9,"$2,488.50 "
CT1,Dec,2023,Short Form Level 1,Core,11,"$3,041.50 "
CT1,Jan,2024,Short Form Level 1,Core,17,"$4,700.50 "
CT1,Feb,2024,Short Form Level 1,Core,11,"$3,041.50 "
CT1,Mar,2024,Short Form Level 1,Core,9,"$3,038.50 "
CT1,Apr,2024,Short Form Level 1,Core,17,"$4,700.50 "
CT1,May,2024,Short Form Level 1,Core,14,"$3,871.00 "
CT1,Jun,2024,Short Form Level 1,Core,15,"$4,147.50 "
CT1,Jul,2024,Short Form Level 1,Core,9,"$2,488.50 "
CT1,Aug,2024,Short Form Level 1,Core,11,"$3,041.50 "
CT1,Sep,2024,Short Form Level 1,Core,6,"$1,659.00 "
CT1,Oct,2024,Short Form Level 1,Core,, $-   
CT1,Nov,2024,Short Form Level 1,Core,10,"$2,765.00 "
CT1,Dec,2024,Short Form Level 1,Core,12,"$3,191.50 "
CT1,Jan,2025,Short Form Level 1,Core,12,"$3,040.00 "
CT1,Feb,2025,Short Form Level 1,Core,14,"$3,871.00 "
CT1,Mar,2025,Short Form Level 1,Core,6,"$1,659.00 "
CT1,Apr,2025,Short Form Level 1,Core,4,"$1,106.00 "
CT1,May,2025,Short Form Level 1,Core,13,"$3,594.50 "
CT1,Jun,2025,Short Form Level 1,Core,6,"$1,659.00 "
CT1,Jul,2025,Short Form Level 1,Core,15,"$4,147.50 "
CT1,Aug,2025,Short Form Level 1,Core,13,"$3,594.50 "
CT1,Sep,2025,Short Form Level 1,Core,13,"$3,593.00 "
CT1,Oct,2025,Short Form Level 1,Core,11,"$3,038.50 "
CT1,Nov,2025,Short Form Level 1,Core,9,"$2,284.00 "
CT1,Dec,2025,Short Form Level 1,Core,8,"$2,404.00 "
CT1,Jan,2026,Short Form Level 1,Core,14,"$4,207.50 "
CT1,Feb,2026,Short Form Level 1,Core,,
CT1,Mar,2026,Short Form Level 1,Core,,
CT1,Apr,2026,Short Form Level 1,Core,,
CT1,May,2026,Short Form Level 1,Core,,
CT1,Jun,2026,Short Form Level 1,Core,,
CT1,Jul,2026,Short Form Level 1,Core,,
CT1,Aug,2026,Short Form Level 1,Core,,
CT1,Sep,2026,Short Form Level 1,Core,,
CT1,Oct,2026,Short Form Level 1,Core,,
CT1,Nov,2026,Short Form Level 1,Core,,
CT1,Dec,2026,Short Form Level 1,Core,,
CT2,Jan,2023,Short Form Level 2,Core,12,"$3,318.00 "
CT2,Feb,2023,Short Form Level 2,Core,, $-   
CT2,Mar,2023,Short Form Level 2,Core,13,"$3,595.00 "
CT2,Apr,2023,Short Form Level 2,Core,0, $-   
CT2,May,2023,Short Form Level 2,Core,13,"$3,494.50 "
CT2,Jun,2023,Short Form Level 2,Core,, $-   
CT2,Jul,2023,Short Form Level 2,Core,8,"$2,212.00 "
CT2,Aug,2023,Short Form Level 2,Core,4,"$1,106.00 "
CT2,Sep,2023,Short Form Level 2,Core,3,$829.00 
CT2,Oct,2023,Short Form Level 2,Core,5,"$1,382.50 "
CT2,Nov,2023,Short Form Level 2,Core,, $-   
CT2,Dec,2023,Short Form Level 2,Core,13,"$3,593.00 "
CT2,Jan,2024,Short Form Level 2,Core,0, $-   
CT2,Feb,2024,Short Form Level 2,Core,, $-   
CT2,Mar,2024,Short Form Level 2,Core,11,"$3,016.50 "
CT2,Apr,2024,Short Form Level 2,Core,11,"$3,041.50 "
CT2,May,2024,Short Form Level 2,Core,, $-   
CT2,Jun,2024,Short Form Level 2,Core,12,"$3,318.00 "
CT2,Jul,2024,Short Form Level 2,Core,1,$275.00 
CT2,Aug,2024,Short Form Level 2,Core,12,"$3,318.00 "
